Instrument,Channel1ME,Channel1PE,Channel2ME,Channel2PE,ValidSince
SN150,0.985000,-0.005994,0.985000,-0.005994,2021-03-22
SN150,0.986200,-0.006687,0.986200,-0.006687,2021-04-01
SN155,0.988700,0.001532,0.988700,0.001532,2021-05-06
SN155,0.991400,0.000865,0.991400,0.000865,2021-05-19
SN156,0.986700,0.007324,0.986700,0.007324,2021-09-05
SN171,0.985600,0.000083,0.985600,0.000083,2021-11-21
SN172,0.985800,-0.000228,0.985800,-0.000228,2022-02-24
SN173,0.986700,-0.006783,0.986700,-0.006783,2022-03-16
SN175,0.986100,0.000017,0.986100,0.000017,2022-05-05
SN177,0.987000,-0.000580,0.987000,-0.000580,2022-07-08
SN177,0.979800,0.000046,0.979800,0.000046,2023-04-06
SN178,0.980500,0.005049,0.980500,0.005049,2022-07-15
SN179,0.984800,0.002653,0.984800,0.002653,2022-07-21
SN180,0.990000,0.000296,0.990000,0.000296,2022-07-15
SN181,0.981900,0.003429,0.981900,0.003429,2022-07-21
SN182,0.984600,0.002120,0.984600,0.002120,2022-08-25
SN184,0.958900,-0.005838,0.958900,-0.005838,2022-07-08
SN185,0.986000,0.003881,0.986000,0.003881,2022-11-04
SN186,0.984600,0.001672,0.984600,0.001672,2022-11-24
SN190,0.985500,0.002743,0.985500,0.002743,2022-12-23
SN191,0.989100,0.002285,0.989100,0.002285,2022-12-23
SN192,0.985700,-0.001553,0.985700,-0.001553,2023-02-21
SN193,0.986400,-0.001746,0.986400,-0.001746,2023-01-23
SN194,0.985900,-0.001295,0.985900,-0.001295,2023-02-21
SN195,0.978800,-0.000817,0.978800,-0.000817,2023-02-10
SN196,0.987400,0.004153,0.987400,0.004153,2023-02-15
SN197,0.984800,0.002017,0.984800,0.002017,2023-02-15
SN198,0.980000,-0.003016,0.980000,-0.003016,2023-02-17
SN199,0.984100,-0.001622,0.984100,-0.001622,2023-02-10
SN200,0.985900,-0.007422,0.985900,-0.007422,2023-04-28
SN201,0.985500,-0.002205,0.985500,-0.002205,2023-04-06
SN202,0.981900,-0.002705,0.981900,-0.002705,2023-04-28
SN203,0.986955,0.001423,0.986955,0.001423,2023-04-28
SN204,0.983800,0.000619,0.983800,0.000619,2023-04-19
SN206,0.989500,-0.001679,0.989500,-0.001679,2023-06-21
SN207,0.997800,0.001030,0.997800,0.001030,2023-06-23
SN208,0.985500,0.000079,0.985500,0.000079,2023-03-23
SN209,0.985600,-0.001801,0.985600,-0.001801,2023-12-20
SN215,0.984500,-0.001658,0.984500,-0.001658,2023-12-14
SN216,0.985800,0.001001,0.985800,0.001001,2023-12-14
SN217,0.987700,0.003367,0.987700,0.003367,2023-12-06
SN218,0.985500,0.004075,0.985500,0.004075,2023-12-06
SN219,0.984800,-0.002553,0.984800,-0.002553,2023-12-06
SN221,0.984600,-0.003283,0.984600,-0.003283,2024-01-24
SN222,0.984900,0.002006,0.984900,0.002006,2024-01-16
SN223,0.986800,-0.002222,0.986800,-0.002222,2024-01-24
SN224,0.983500,-0.002181,0.983500,-0.002181,2023-12-21
