METADATA
##########
utc,ma_app_sza,ma_azimuth,ma_gnd_p,ma_gnd_t,ma_xair,ma_xch4,ma_xch4_s5p,ma_xco,ma_xco2,ma_xh2o,mb_app_sza,mb_azimuth,mb_gnd_p,mb_gnd_t,mb_xair,mb_xch4,mb_xch4_s5p,mb_xco,mb_xco2,mb_xh2o,mc_app_sza,mc_azimuth,mc_gnd_p,mc_gnd_t,mc_xair,mc_xch4,mc_xch4_s5p,mc_xco,mc_xco2,mc_xh2o,md_app_sza,md_azimuth,md_gnd_p,md_gnd_t,md_xair,md_xch4,md_xch4_s5p,md_xco,md_xco2,md_xh2o,me_app_sza,me_azimuth,me_gnd_p,me_gnd_t,me_xair,me_xch4,me_xch4_s5p,me_xco,me_xco2,me_xh2o
2021-01-01 09:07:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.67666666666668,-30.486666666666668,939.9166666666666,274.48,1.000058,1.8790300000000002,0.0,0.0,415.54466666666667,1173.8433333333335
2021-01-01 09:08:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.75,-30.51,942.28,274.22,0.997509,1.87974,0.0,0.0,414.312,1360.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.5925,-30.27,939.93,274.48,1.0002585,1.879025,0.0,0.0,415.48900000000003,1169.0575
2021-01-01 09:09:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.5025,-30.03,939.945,274.48,0.9998605,1.87864,0.0,0.0,415.33925,1174.065
2021-01-01 09:10:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.56,-29.994999999999997,942.3125,274.22,0.99723325,1.880445,0.0,0.0,414.2825,1365.3425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.42333333333333,-29.816666666666666,939.9699999999999,274.48,0.9999359999999999,1.8782433333333335,0.0,0.0,415.0973333333333,1186.4666666666665
2021-01-01 09:11:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.5,-29.835,942.325,274.22,0.996891,1.881,0.0,0.0,414.3445,1369.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.3425,-29.6075,939.975,274.48,0.9999255,1.8791525,0.0,0.0,415.246,1196.49
2021-01-01 09:12:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.2525,-29.36,939.985,274.48,1.0005375,1.87876,0.0,0.0,415.291,1198.1950000000002
2021-01-01 09:13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.17333333333333,-29.14,940.0166666666668,274.48,1.000518,1.8791566666666668,0.0,0.0,415.193,1196.2566666666667
2021-01-01 09:14:00,76.18,-28.905,944.225,274.69,0.9952825000000001,1.883375,0.0,0.0,414.5765,1288.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.2,-29.02,942.4,274.22,0.996789,1.88123,0.0,0.0,414.46,1380.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.095,-28.93,940.04,274.48,1.00008325,1.8790575,0.0,0.0,415.33425,1200.28
2021-01-01 09:15:00,76.12,-28.7475,944.2375,274.69,0.99549025,1.88362,0.0,0.0,414.8705,1290.4425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.18,-28.97,942.41,274.22,0.996082,1.88286,0.0,0.0,415.076,1381.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.01666666666667,-28.713333333333335,940.0533333333333,274.48,1.0002353333333334,1.8791133333333334,0.0,0.0,415.31466666666665,1209.3366666666668
2021-01-01 09:16:00,76.0475,-28.525,944.2325000000001,274.69,0.995924,1.883185,0.0,0.0,414.77175,1294.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.04,-28.59,942.43,274.22,0.996567,1.88207,0.0,0.0,414.62,1387.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.94,-28.49,940.07,274.48,1.0003,1.8787099999999999,0.0,0.0,415.13275,1214.8075
2021-01-01 09:17:00,75.97,-28.310000000000002,944.2574999999999,274.69,0.9961482500000001,1.8833250000000001,0.0,0.0,414.683,1297.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.985,-28.435000000000002,942.4375,274.22,0.9968995,1.88279,0.0,0.0,414.63575000000003,1393.4524999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.86333333333333,-28.28,940.08,274.48,1.00018,1.8798233333333334,0.0,0.0,415.34366666666665,1218.8333333333333
2021-01-01 09:18:00,75.89,-28.09,944.2725,274.69,0.99602,1.88319,0.0,0.0,414.65375,1306.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.91,-28.215,942.45,274.22,0.997022,1.882685,0.0,0.0,414.88599999999997,1396.205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.765,-28.005,940.085,274.48,0.9998260000000001,1.8800249999999998,0.0,0.0,415.2485,1227.85
2021-01-01 09:19:00,75.808,-27.848000000000003,944.3,274.69,0.9959676,1.8831040000000001,0.0,0.0,414.49539999999996,1313.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.83,-27.994999999999997,942.4725000000001,274.22,0.9974862499999999,1.881375,0.0,0.0,414.68674999999996,1397.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.7,-27.82,940.1,274.48,0.99957075,1.878995,0.0,0.0,415.15274999999997,1230.9850000000001
2021-01-01 09:20:00,75.72,-27.6025,944.3175,274.69,0.99601675,1.883375,0.0,0.0,414.569,1318.8525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.62,-27.599999999999998,940.1133333333333,274.48,0.999731,1.8793866666666668,0.0,0.0,415.10833333333335,1234.8766666666668
